system_ind,typology
002800000000000377ee,MUR/LWAL/DNO
00280000000000025a9f,MUR/LWAL/DNO
"00280000000000012e95",MUR/LWAL/DNO
00280000000000012e9f,MUR/LWAL/DNO
00280000000000012eab,CR/LFINF/DUC
00280000000000025abe,MUR/LWAL/DNO
00280000000000012f00,MUR/LWAL/DNO
00280000000000025ae1,CR/LFINF/DNO
00280000000000018bc3,MUR/LWAL/DNO
00280000000000031ec5,MUR/LWAL/DNO
00280000000000031edc,MUR/LWAL/DNO
00280000000000031efb,MCF/LWAL/DNO
00280000000000031f0f,CR/LFINF/DNO
00280000000000023aed,CR/LFINF/DNO
"00280000000000010191",MUR/LWAL/DNO
"002800000000000101d6",MUR/LWAL/DNO
002800000000000101db,MUR/LWAL/DNO
002800000000000101de,MUR/LWAL/DNO
00280000000000023b53,MUR/LWAL/DNO
"002800000000000101e7",CR/LFINF/DNO
"00280000000000010204",CR/LFINF/DNO
0028000000000002f210,MUR/LWAL/DNO
0028000000000002f224,MUR/LWAL/DNO
0028000000000002f251,MUR/LWAL/DNO
00280000000000016c82,CR/LFINF/DNO
0028000000000002f299,MCF/LWAL/DNO
00280000000000021b8d,CR/LFINF/DUC
00280000000000021ba2,CR/LDUAL/DUC
"0028000000000000d373",MUR/LWAL/DNO
00280000000000021be1,CR/LFINF/DNO
0028000000000000d3b5,MUR/LWAL/DNO
0028000000000000d3b9,CR/LFINF/DNO
0028000000000002c43c,MUR/LWAL/DNO
00280000000000014c73,MUR/LWAL/DNO
0028000000000002c463,MUR/LWAL/DNO
0028000000000002c468,MUR/LWAL/DNO
0028000000000000a626,CR/LDUAL/DUC
0028000000000001fcbb,CR/LFINF/DNO
0028000000000000a687,CR/LFINF/DNO
0028000000000000a68b,MUR/LWAL/DNO
0028000000000000a6cf,MUR/LWAL/DNO
0028000000000000a6da,MUR/LWAL/DNO
0028000000000000a6ea,MUR/LWAL/DNO
00280000000000003bf2,MR/LWAL/DNO
00280000000000028e9d,CR/LFINF/DNO
00280000000000003c00,CR/LFINF/DUC
00280000000000028eb0,CR/LWAL/DUC
0028000000000002ac79,MUR/LWAL/DNO
0028000000000001de5d,MUR/LWAL/DNO
0028000000000001de5f,MUR/LWAL/DNO
"00280000000000039433",MUR/LWAL/DNO
"00280000000000039460",MUR/LWAL/DNO
"00280000000000039488",MUR/LWAL/DNO
002800000000000394a8,MUR/LWAL/DNO
"00280000000000000e84",MUR/LWAL/DNO
00280000000000000ebd,MUR/LWAL/DNO
00280000000000000ed5,CR/LFINF/DNO
00280000000000000ee7,CR/LFINF/DNO
00280000000000000f03,MUR/LWAL/DNO
00280000000000026ea6,MCF/LWAL/DUC
00280000000000000f18,CR/LFINF/DUC
0028000000000001bebc,CR/LFINF/DUC
002800000000000367bb,MUR/LWAL/DNO
00280000000000033acb,MUR/LWAL/DNO
00280000000000019ef8,MUR/LWAL/DNO
00280000000000019f0c,MCF/LWAL/DNO
00280000000000019f1f,MUR/LWAL/DNO
00280000000000033b5b,MUR/LWAL/DNO
00280000000000011cd8,MUR/LWAL/DNO
00280000000000024e3e,MUR/LWAL/DNO
"00280000000000011d97",CR/LFINF/DNO
00280000000000011da0,CR/LFINF/DNO
"00280000000000024e79",MUR/LWAL/DNO
00280000000000015fe4,MUR/LWAL/DNO
"0028000000000002e044",MUR/LWAL/DNO
00280000000000030d4a,MUR/LWAL/DNO
00280000000000017f73,CR/LFINF/DNO
00280000000000030d7c,CR/LFINF/DNO
00280000000000030dd3,MUR/LWAL/DNO
00280000000000022eeb,MUR/LWAL/DNO
0028000000000000efc3,CR/LFINF/DNO
0028000000000000f01f,MUR/LWAL/DNO
0028000000000002c0a9,MUR/LWAL/DNO
0028000000000002c0b8,MR/LWAL/DNO
"00280000000000008424",MUR/LWAL/DNO
0028000000000000842b,MUR/LWAL/DNO
0028000000000000842d,CR/LFINF/DNO
"00280000000000008454",MUR/LWAL/DNO
0028000000000000845e,MUR/LWAL/DNO
0028000000000002c0df,MCF/LWAL/DNO
0028000000000000c39a,CR/LFINF/DNO
002800000000000210fb,MUR/LWAL/DNO
0028000000000002110d,CR/LFINF/DNO
0028000000000001d1c0,MUR/LWAL/DNO
002800000000000095fb,MUR/LWAL/DNO
0028000000000000962a,MUR/LWAL/DNO
0028000000000000965b,MUR/LWAL/DNO
"00280000000000009676",CR/LFINF/DNO
0028000000000002a204,MUR/LWAL/DNO
002800000000000057a8,MUR/LWAL/DNO
002800000000000057b1,MUR/LWAL/DNO
002800000000000057dc,MCF/LWAL/DUC
0028000000000002a247,CR/LFINF/DUC
0028000000000000584d,MUR/LWAL/DNO
0028000000000001b2ba,MUR/LWAL/DNO
0028000000000001b2d5,MUR/LWAL/DNO
002800000000000356b3,MUR/LWAL/DNO
"00280000000000028182",MUR/LWAL/DNO
002800000000000029c8,MUR/LWAL/DNO
0028000000000002819e,MUR/LWAL/DNO
00280000000000002a3a,MUR/LWAL/DNO
0028000000000003292f,MUR/LWAL/DNO
002800000000000192bd,MUR/LWAL/DNO
002800000000000192c1,MUR/LWAL/DNO
"00280000000000032954",MUR/LWAL/DNO
"00280000000000032977",MUR/LWAL/DNO
0028000000000003299d,MCF/LWAL/DUC
002800000000000329a4,MUR/LWAL/DNO
00280000000000010d0f,MUR/LWAL/DNO
002800000000000138f7,MUR/LWAL/DNO
0028000000000001395e,MUR/LWAL/DNO
002800000000000223a1,MUR/LWAL/DNO
0028000000000000df1f,MUR/LWAL/DNO
0028000000000000df25,MUR/LWAL/DNO
002800000000000223df,MUR/LWAL/DNO
002800000000000223ff,MUR/LWAL/DNO
0028000000000002240a,MUR/LWAL/DNO
0028000000000002fe89,MUR/LWAL/DNO
"00280000000000017542",MUR/LWAL/DNO
0028000000000002feed,MUR/LWAL/DNO
0028000000000002ff06,CR/LFINF/DNO
0028000000000000b198,CR/LFINF/DNO
"00280000000000007267",MUR/LWAL/DNO
"002800000000000072d8",MUR/LWAL/DNO
"00280000000000007310",MUR/LWAL/DNO
0028000000000002b4d2,MUR/LWAL/DNO
0028000000000001556a,MUR/LWAL/DNO
00280000000000039ecd,CR/LFINF/DNO
0028000000000001e5aa,MUR/LWAL/DNO
00280000000000039f20,MUR/LWAL/DNO
00280000000000039f33,CR/LFINF/DNO
00280000000000039f72,CR/LFINF/DNO
002800000000000045b2,CR/LWAL/DUC
"00280000000000004601",MUR/LWAL/DNO
"00280000000000004610",CR/LFINF/DNO
"00280000000000004614",MUR/LWAL/DNO
002800000000000295fb,MR/LWAL/DNO
"00280000000000004649",CR/LFINF/DNO
0028000000000000464e,CR/LFINF/DNO
"00280000000000029629",MUR/LWAL/DNO
"00280000000000027650",MUR/LWAL/DNO
"00280000000000027686",MUR/LWAL/DNO
00280000000000001a8e,MUR/LWAL/DNO
0028000000000001c58b,MUR/LWAL/DNO
"00280000000000012844",MUR/LWAL/DNO
"002800000000000128e3",MUR/LWAL/DNO
002800000000000256b1,CR/LFINF/DUC
0028000000000001888d,CR/LFINF/DNO
002800000000000188af,MUR/LWAL/DNO
00280000000000031ab1,MUR/LWAL/DNO
00280000000000031aba,CR/LFINF/DNO
0028000000000001a75c,MUR/LWAL/DNO
002800000000000346f1,MUR/LWAL/DNO
0028000000000001a7ae,CR/LFINF/DNO
"00280000000000034721",CR/LFINF/DNO
0028000000000000fb42,MUR/LWAL/DNO
0028000000000000fb67,CR/LFINF/DNO
0028000000000000fb74,MUR/LWAL/DNO
0028000000000000fb82,MCF/LWAL/DNO
0028000000000002ed0c,CR/LFINF/DNO
0028000000000000cdd7,CR/LFINF/DNO
0028000000000000cde8,CR/LFINF/DNO
"00280000000000021829",MUR/LWAL/DNO
0028000000000000ce65,CR/LFINF/DUC
0028000000000000ce84,CR/LFINF/DNO
0028000000000000ce8c,CR/LFINF/DNO
"00280000000000014956",CR/LFINF/DNO
0028000000000003abe9,MUR/LWAL/DNO
0028000000000003ac10,MUR/LWAL/DNO
0028000000000003ac4f,MUR/LWAL/DNO
0028000000000000a03c,MUR/LWAL/DNO
0028000000000000a068,MUR/LWAL/DNO
0028000000000000a08e,MUR/LWAL/DNO
0028000000000000a0a1,MUR/LWAL/DNO
0028000000000000a0c8,CR/LFINF/DNO
0028000000000001f8d5,CR/LFINF/DNO
0028000000000001f8da,MUR/LWAL/DNO
"00280000000000006323",MUR/LWAL/DNO
0028000000000002a9bd,CR/LFINF/DNO
"00280000000000006360",MUR/LWAL/DNO
0028000000000000636f,MUR/LWAL/DNO
002800000000000063a0,MUR/LWAL/DNO
002800000000000063bf,MUR/LWAL/DNO
0028000000000002aa10,CR/LFINF/DNO
00280000000000038ebc,MUR/LWAL/DNO
0028000000000001da75,MUR/LWAL/DNO
00280000000000038efe,CR/LFINF/DUC
00280000000000038f07,MUR/LWAL/DNO
00280000000000038f39,MUR/LWAL/DNO
00280000000000038f50,CR/LFINF/DUC
00280000000000038f57,MCF/LWAL/DUC
0028000000000000086b,MUR/LWAL/DNO
00280000000000026a1e,MUR/LWAL/DNO
00280000000000028a44,MUR/LWAL/DNO
"00280000000000003636",CR/LFINF/DNO
"00280000000000003658",CR/LFINF/DNO
00280000000000028a89,MUR/LWAL/DNO
00280000000000028a9f,MCF/LWAL/DNO
0028000000000000369a,MR/LWAL/DNO
002800000000000036a2,MUR/LWAL/DNO
00280000000000028acc,MR/LWAL/DNO
"00280000000000036284",MUR/LWAL/DNO
0028000000000001bb7e,MUR/LWAL/DNO
002800000000000362f1,MUR/LWAL/DNO
0028000000000001bbb4,MUR/LWAL/DNO
002800000000000335ae,MCF/LWAL/DUC
"002800000000000335e3",MUR/LWAL/DNO
0028000000000001180d,CR/LFINF/DNO
0028000000000001181d,MUR/LWAL/DNO
00280000000000024a79,MUR/LWAL/DNO
00280000000000024a9f,MUR/LWAL/DNO
00280000000000024ab6,MUR/LWAL/DNO
00280000000000024abd,MCF/LWAL/DNO
0028000000000002dcc8,MUR/LWAL/DNO
0028000000000002dcd5,CR/LFINF/DNO
0028000000000002dd20,CR/LFINF/DNO
0028000000000002dd37,MCF/LWAL/DNO
002800000000000308de,MUR/LWAL/DNO
"002800000000000308e6",CR/LFINF/DNO
00280000000000017c7c,MUR/LWAL/DNO
"00280000000000030918",MUR/LWAL/DNO
"00280000000000030924",MUR/LWAL/DNO
"00280000000000030925",MUR/LWAL/DNO
00280000000000017c8a,CR/LFINF/DUC
0028000000000000e95a,MUR/LWAL/DNO
"0028000000000000e973",MUR/LWAL/DNO
"0028000000000000e996",CR/LFINF/DNO
0028000000000000e9a0,MUR/LWAL/DNO
0028000000000000e9a9,MUR/LWAL/DNO
0028000000000000e9ae,CR/LFINF/DNO
00280000000000022afc,MUR/LWAL/DNO
0028000000000000e9e0,CR/LFINF/DNO
0028000000000000e9ef,CR/LFINF/DNO
0028000000000000e9f3,CR/LFINF/DNO
00280000000000022b08,CR/LFINF/DNO
00280000000000007ef6,MUR/LWAL/DNO
00280000000000007f3e,CR/LFINF/DNO
0028000000000002bd65,CR/LFINF/DNO
0028000000000002bd72,MCF/LWAL/DNO
"00280000000000020d54",MUR/LWAL/DNO
0028000000000000be73,CR/LWAL/DUC
"002800000000000091e9",CR/LFINF/DNO
"00280000000000009203",CR/LFINF/DNO
"00280000000000005197",MUR/LWAL/DNO
"00280000000000005210",MUR/LWAL/DNO
00280000000000029dfa,CR/LFINF/DNO
0028000000000001aefc,MUR/LWAL/DNO
"00280000000000035126",MUR/LWAL/DNO
0028000000000003515d,MUR/LWAL/DNO
0028000000000001af20,CR/LFINF/DNO
"00280000000000035179",CR/LWAL/DUC
0028000000000001af52,CR/LFINF/DNO
002800000000000351b6,MCF/LWAL/DUC
002800000000000351b9,CR/LFINF/DNO
002800000000000351cb,CR/LFINF/DUC
0028000000000001ce33,CR/LFINF/DNO
00280000000000037db7,MUR/LWAL/DNO
00280000000000037dd0,MUR/LWAL/DNO
00280000000000037ddd,MUR/LWAL/DNO
0028000000000001ce50,CR/LFINF/DUC
002800000000000024df,CR/LFINF/DNO
"00280000000000002537",CR/LFINF/DNO
0028000000000000253e,MUR/LWAL/DNO
002800000000000325a3,MUR/LWAL/DNO
0028000000000001905b,MUR/LWAL/DNO
002800000000000325f3,MUR/LWAL/DNO
"00280000000000032607",CR/LFINF/DUC
"00280000000000032626",CR/LFINF/DUC
0028000000000003263d,MUR/LWAL/DNO
"00280000000000013351",CR/LWAL/DUC
0028000000000000dabd,MUR/LWAL/DNO
0028000000000000dada,MUR/LWAL/DNO
"002800000000000220e7",CR/LFINF/DNO
002800000000000220f0,MCF/LWAL/DNO
002800000000000107bc,MUR/LWAL/DNO
"00280000000000010809",CR/LFINF/DNO
"00280000000000010829",CR/LFINF/DNO
0028000000000001086a,CR/LFINF/DUC
0028000000000002f959,MCF/LWAL/DNO
0028000000000002f965,MUR/LWAL/DNO
0028000000000002f98c,MUR/LWAL/DNO
0028000000000001717c,MUR/LWAL/DNO
0028000000000002f9ad,MUR/LWAL/DNO
002800000000000171bd,CR/LWAL/DUC
002800000000000200cc,MUR/LWAL/DNO
0028000000000000ac44,MUR/LWAL/DNO
0028000000000000ac48,MUR/LWAL/DNO
0028000000000000acdb,MUR/LWAL/DNO
0028000000000000acdc,MUR/LWAL/DNO
0028000000000002015d,MUR/LWAL/DNO
002800000000000150c1,MCF/LWAL/DNO
0028000000000002cb64,MUR/LWAL/DNO
0028000000000002cb9d,MUR/LWAL/DNO
0028000000000002cbab,MUR/LWAL/DNO
0028000000000001e1ab,MUR/LWAL/DNO
0028000000000001e1bf,MUR/LWAL/DNO
0028000000000001e1fe,MUR/LWAL/DNO
002800000000000399bd,MUR/LWAL/DNO
002800000000000399be,MUR/LWAL/DNO
"002800000000000399e9",CR/LFINF/DNO
"0028000000000001e223",CR/LFINF/DNO
00280000000000003f7b,MUR/LWAL/DNO
00280000000000003fab,MUR/LWAL/DNO
00280000000000003fd8,MUR/LWAL/DNO
"00280000000000029188",MUR/LWAL/DNO
0028000000000000400a,MR/LWAL/DNO
002800000000000291aa,CR/LWAL/DUC
"00280000000000006d69",CR/LFINF/DUC
"00280000000000006d77",CR/LFINF/DNO
0028000000000002b133,MUR/LWAL/DNO
0028000000000002b140,MUR/LWAL/DNO
00280000000000036e5b,MUR/LWAL/DNO
"00280000000000036e61",MUR/LWAL/DNO
"00280000000000036e76",MUR/LWAL/DNO
"00280000000000036e77",MUR/LWAL/DNO
00280000000000036e7f,MUR/LWAL/DNO
0028000000000001c374,CR/LFINF/DNO
00280000000000036eb6,MUR/LWAL/DNO
00280000000000036eb9,MUR/LWAL/DNO
00280000000000036ec9,CR/LFINF/DNO
00280000000000036ecf,MUR/LWAL/DNO
002800000000000014c3,MUR/LWAL/DNO
002800000000000014ee,MUR/LWAL/DNO
002800000000000014f3,MUR/LWAL/DNO
"00280000000000001516",MUR/LWAL/DNO
002800000000000123eb,MUR/LWAL/DNO
"00280000000000012428",CR/LWAL/DUC
0028000000000002537a,MUR/LWAL/DNO
"00280000000000012484",CR/LFINF/DNO
0028000000000001248a,MUR/LWAL/DNO
0028000000000001249d,MUR/LWAL/DNO
002800000000000124a7,CR/LFINF/DNO
0028000000000001a3df,MUR/LWAL/DNO
0028000000000001a3e6,MUR/LWAL/DNO
"00280000000000034208",CR/LFINF/DNO
0028000000000001a41b,MUR/LWAL/DNO
0028000000000002330c,MUR/LWAL/DNO
0028000000000000f5ff,MUR/LWAL/DNO
0028000000000002334a,MUR/LWAL/DNO
0028000000000000f611,MUR/LWAL/DNO
0028000000000000f620,MUR/LWAL/DNO
0028000000000000f635,MUR/LWAL/DNO
0028000000000000f646,CR/LFINF/DNO
"00280000000000023379",CR/LFINF/DUC
0028000000000002e7a4,MUR/LWAL/DNO
0028000000000002e7b0,MUR/LWAL/DNO
0028000000000002e7e3,CR/LFINF/DNO
"0028000000000002e806",MUR/LWAL/DNO
"00280000000000018419",CR/LFINF/DNO
"00280000000000031480",MUR/LWAL/DNO
002800000000000314c2,MUR/LWAL/DNO
0028000000000000c9d1,MUR/LWAL/DNO
0028000000000002153d,MUR/LWAL/DNO
0028000000000000ca29,CR/LFINF/DNO
"00280000000000021560",CR/LFINF/DUC
0028000000000002159e,MUR/LWAL/DNO
00280000000000008c2f,MUR/LWAL/DNO
00280000000000008c48,MUR/LWAL/DNO
00280000000000008c55,MUR/LWAL/DNO
00280000000000008c58,MR/LWAL/DNO
002800000000000144b1,MUR/LWAL/DNO
00280000000000008c75,MUR/LWAL/DNO
00280000000000008c78,MUR/LWAL/DNO
00280000000000008c7f,CR/LFINF/DNO
00280000000000008c9b,MUR/LWAL/DNO
002800000000000144f8,CR/LFINF/DUC
00280000000000008cc1,CR/LWAL/DUC
00280000000000008cd4,CR/LFINF/DNO
"00280000000000005e94",CR/LFINF/DNO
00280000000000005e9c,MCF/LWAL/DUC
0028000000000002a682,CR/LWAL/DUC
"0028000000000001d669",CR/LFINF/DNO
002800000000000389bc,MUR/LWAL/DNO
00280000000000038a00,MUR/LWAL/DNO
00280000000000038a03,CR/LFINF/DNO
00280000000000009cef,MUR/LWAL/DNO
"00280000000000009d16",MUR/LWAL/DNO
"00280000000000009d40",MUR/LWAL/DNO
00280000000000009d6b,CR/LFINF/DUC
002800000000000030fa,MUR/LWAL/DNO
"00280000000000003113",CR/LFINF/DNO
002800000000000286db,MUR/LWAL/DNO
0028000000000000312b,CR/LFINF/DUC
0028000000000000313c,CR/LFINF/DNO
00280000000000035ccf,MUR/LWAL/DNO
00280000000000035cd3,MUR/LWAL/DNO
00280000000000035cd9,MUR/LWAL/DNO
00280000000000035d0d,MUR/LWAL/DNO
"00280000000000000376",MUR/LWAL/DNO
0028000000000000037c,MUR/LWAL/DNO
0028000000000002663e,MUR/LWAL/DNO
"00280000000000026640",CR/LFINF/DNO
002800000000000003c5,CR/LFINF/DNO
"00280000000000026661",CR/LFINF/DNO
"00280000000000026671",CR/LFINF/DUC
"00280000000000000402",MR/LWAL/DNO
0028000000000001977e,MUR/LWAL/DNO
00280000000000032ff0,MUR/LWAL/DNO
002800000000000197b2,MUR/LWAL/DNO
"002800000000000330d8",MUR/LWAL/DNO
"00280000000000011364",MUR/LWAL/DNO
002800000000000113ba,MUR/LWAL/DNO
002800000000000113cb,MUR/LWAL/DNO
"002800000000000301d2",MUR/LWAL/DNO
"00280000000000017780",MUR/LWAL/DNO
"00280000000000030218",MUR/LWAL/DNO
"00280000000000030235",MUR/LWAL/DNO
"00280000000000030251",MUR/LWAL/DNO
"00280000000000030252",CR/LFINF/DNO
0028000000000003027f,CR/LFINF/DNO
002800000000000177c7,CR/LFINF/DNO
0028000000000000e5c9,MUR/LWAL/DNO
"0028000000000000e616",MUR/LWAL/DNO
0028000000000000e63b,MUR/LWAL/DNO
"0028000000000000e641",CR/LFINF/DUC
0028000000000000e65d,CR/LFINF/DNO
0028000000000000e66e,MUR/LWAL/DNO
"0028000000000000e685",MUR/LWAL/DNO
0028000000000000799e,MUR/LWAL/DNO
0028000000000002b973,MUR/LWAL/DNO
002800000000000079f0,MCF/LWAL/DUC
002800000000000079f4,CR/LFINF/DNO
0028000000000002d76f,MUR/LWAL/DNO
0028000000000002d7b9,MUR/LWAL/DNO
002800000000000159fb,CR/LFINF/DUC
0028000000000002d7da,CR/LFINF/DUC
0028000000000002d7e0,MCF/LWAL/DNO
0028000000000000b85c,MUR/LWAL/DNO
0028000000000002097b,MUR/LWAL/DNO
002800000000000209b3,MUR/LWAL/DNO
002800000000000209bc,CR/LFINF/DNO
0028000000000000b8b6,MUR/LWAL/DNO
0028000000000000b8c7,MUR/LWAL/DNO
0028000000000000b8ec,MUR/LWAL/DNO
0028000000000000b8fb,CR/LFINF/DNO
"002800000000000209d0",MR/LWAL/DNO
0028000000000000b8fe,MUR/LWAL/DNO
0028000000000000b90e,CR/LFINF/DNO
00280000000000020a00,MUR/LWAL/DNO
0028000000000001ea1a,MUR/LWAL/DNO
0028000000000001ea1b,MUR/LWAL/DNO
0028000000000001ea37,CR/LFINF/DUC
0028000000000003a552,MUR/LWAL/DNO
0028000000000003a580,MUR/LWAL/DNO
002800000000000299f7,MCF/LWAL/DNO
00280000000000004c61,MUR/LWAL/DNO
00280000000000004c7b,MUR/LWAL/DNO
00280000000000029a35,MUR/LWAL/DNO
00280000000000004c8b,CR/LWAL/DUC
00280000000000004cbc,MUR/LWAL/DNO
00280000000000029a41,MUR/LWAL/DNO
0028000000000001ca61,CR/LFINF/DUC
"00280000000000037845",MUR/LWAL/DNO
0028000000000001ca87,MUR/LWAL/DNO
0028000000000001cad4,CR/LFINF/DNO
"002800000000000378d1",MUR/LWAL/DNO
002800000000000378f9,CR/LFINF/DNO
"00280000000000002003",MUR/LWAL/DNO
0028000000000000202a,MUR/LWAL/DNO
"00280000000000002083",MUR/LWAL/DNO
"00280000000000002098",MUR/LWAL/DNO
002800000000000020aa,MUR/LWAL/DNO
002800000000000020b5,MUR/LWAL/DNO
00280000000000018c82,MUR/LWAL/DNO
00280000000000018c92,MUR/LWAL/DNO
00280000000000018cd9,MUR/LWAL/DNO
002800000000000320a2,MUR/LWAL/DNO
002800000000000320c0,MUR/LWAL/DNO
00280000000000018ce9,CR/LFINF/DNO
"002800000000000320e6",CR/LFINF/DNO
"00280000000000018d05",MCF/LWAL/DNO
0028000000000001a9fe,MUR/LWAL/DNO
0028000000000001aa04,CR/LFINF/DUC
0028000000000001aa10,CR/LFINF/DNO
00280000000000034a74,MUR/LWAL/DNO
00280000000000034a84,MUR/LWAL/DNO
00280000000000034aaa,MUR/LWAL/DNO
00280000000000034ab7,MUR/LWAL/DNO
00280000000000034ab9,MUR/LWAL/DNO
00280000000000034ad0,MUR/LWAL/DNO
0028000000000001aa59,MUR/LWAL/DNO
0028000000000001aa67,MUR/LWAL/DNO
0028000000000001aa68,CR/LFINF/DUC
00280000000000012f16,MUR/LWAL/DNO
00280000000000012f79,MUR/LWAL/DNO
00280000000000012f8f,MUR/LWAL/DNO
00280000000000012fbc,MUR/LWAL/DNO
00280000000000025b4f,MUR/LWAL/DNO
0028000000000002f3d4,MUR/LWAL/DNO
0028000000000002f426,MUR/LWAL/DNO
0028000000000002f451,MUR/LWAL/DNO
00280000000000023b8c,CR/LFINF/DNO
0028000000000001025e,MUR/LWAL/DNO
"00280000000000010290",CR/LFINF/DNO
00280000000000023bff,CR/LFINF/DUC
0028000000000000a719,MUR/LWAL/DNO
0028000000000000a798,MCF/LWAL/DUC
0028000000000001fd7f,MUR/LWAL/DNO
0028000000000001fdab,MCF/LWAL/DNO
0028000000000000d3f6,MUR/LWAL/DNO
"0028000000000000d485",MUR/LWAL/DNO
"0028000000000000d489",CR/LFINF/DNO
00280000000000021c4e,MUR/LWAL/DNO
